"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002539533255","https://ae04.alicdn.com/kf/H5663983c6663400fa6b850e0c3bc1513R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319113279938.mp4","Musique Baby Simulation TV Remote Control Kids électriques apprentissage ?distance Educational Music English Learning Toy Gift","USD 3.17","USD 2.06","35%","USD","8.0","USD 0.16","1997","96.4%","https://s.click.aliexpress.com/e/_Dlc2Uxl"
"1005003453357774","https://ae04.alicdn.com/kf/S10c18122c1d84539a49b93c13fdcce9aj.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/333397481623.mp4","RC Foam Aircraft SU-35 Plane 2.4G Radio Control Glider Remote Control Fighter Plane Glider Airplane Foam Boys Toys for Children","USD 30.08","USD 20.45","32%","USD","7","USD 1.43","7983","93.4%","https://s.click.aliexpress.com/e/_Deavxfh"
"1005003304764902","https://ae04.alicdn.com/kf/H49270d7d17604ba4b91c7222960bbffaJ.jpg",,"Baby Toys Music Mobile Phone TV Remote Control Early Educational Toys Electric Numbers Remote Learning Machine Toy Gift for Baby","USD 3.42","USD 2.39","30%","USD","7","USD 0.17","41","89.1%","https://s.click.aliexpress.com/e/_Dd14JAX"
"1005003974107714","https://ae04.alicdn.com/kf/Sae81875c19cf4b7da9fb6c757e7f1211l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352345393278.mp4","Remote Control Car Mini RC Stunt Car 360° Flip Rotation Car Toys for Boys Girls Birthday Gifts Indoor Outdoor Toy","USD 7.95","USD 6.36","20%","USD","7","USD 0.45","188","94.1%","https://s.click.aliexpress.com/e/_DdeieXz"
"1005004025957862","https://ae04.alicdn.com/kf/Saec1646ef7584b699a345ad22fe3262cx.jpg",,"TV Remote Control Toy Musical Play toys with Light and Sound Three Language Modes: English Spanish French Baby Education Toys","USD 5.50","USD 3.85","30%","USD","7","USD 0.27","34","100.0%","https://s.click.aliexpress.com/e/_DekNQ4n"
"1005003613988218","https://ae04.alicdn.com/kf/Hea1972066e78409da293010a998f041bE.jpg",,"2022 Christmas Electric Rail Car Building Block Track Set Transportation Toy Brick Train Xmas New Years Gift Rail Car","USD 3.34","USD 2.34","30%","USD","7","USD 0.16","33","100.0%","https://s.click.aliexpress.com/e/_DECFKvt"
"4001114366464","https://ae04.alicdn.com/kf/H414e309825e24bdb8339b866ea90361eQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/268195590006.mp4","1:58 Remote Control MINI RC Car Battery Operated Racing Car PVC Cans Pack Machine Drift-Buggy Bluetooth radio Controlled Toy Kid","USD 16.99","USD 13.08","23%","USD","12.0","USD 1.57","309","94.1%","https://s.click.aliexpress.com/e/_DkPGIhh"
"1005003953957120","https://ae04.alicdn.com/kf/S8aa57571f67e48dbb5baf784c46bfa00S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348298052114.mp4","ZF04 RC Drone Mini Infrared Induction Hand Control Drone Altitude Hold 2 Controllers Quadcopter for Kids Toy Gift","USD 18.32","USD 11.72","36%","USD","20.0","USD 2.34","460","85.4%","https://s.click.aliexpress.com/e/_DETFVbp"
"1005004457917595","https://ae04.alicdn.com/kf/S67406421908848e284404ae74ac2d3791.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100081980758.mp4","Musique Baby Simulation TV Remote Control Kids Electric Early Educational Music English Learning Toys Toddler Baby Toys Gift","USD 10.74","USD 5.05","53%","USD","7","USD 0.35","27","null%","https://s.click.aliexpress.com/e/_DkA1sth"
"1005004306480783","https://ae04.alicdn.com/kf/S1a1466df873c467ea98e1c4e3562f558F.jpg",,"WLtoys V950 RC Helicopter RTF 2.4G 6CH 3D 6G Brushless Motor RC Plane Flybarless Remote Control Aircaft Toys Gift for Friend","USD 92.44","USD 42.52","54%","USD","7","USD 2.98","32","100.0%","https://s.click.aliexpress.com/e/_DmOIRYL"
